"Occupation, 1950 basis",Single words,Bigram words,Male words,Female words
Dyers,dyer,dyer,,
Bakers,baker,baker,,
Inmate,inmate,inmate,,
Sawyers,"lumberjack, sawyer","lumberjack, sawyer",,
Retired,retired,retired,,
Porters,porter,porter,,
Authors,author,author,,
Cashiers,cashier,cashier,,
Newsboys,"deliverer, carrier","deliverer, carrier",,
Chemists,chemist,chemist,,
Dentists,"technician, dentist, professional","technician, dentist, professional",,
Glaziers,glazier,glazier,,
Furriers,furrier,furrier,,
Athletes,athlete,athlete,,
Midwives,midwife,midwife,,
Draftsmen,"draftsperson, sketcher, delineator","draftsperson, sketcher, delineator",,
Designers,designer,designer,,
Clergymen,clergy,clergy,,
Teamsters,"teamster, driver, trucker","teamster, driver, trucker",,
Surveyors,surveyor,surveyor,,
Milliners,milliner,milliner,,
Carpenters,"carpenter, carpenters","carpenter, carpenters",,
Machinists,machinist,machinist,,
Bartenders,bartender,bartender,,
Librarians,"librarian, librarians","librarian, librarians",,
Economists,economist,economist,,
Architects,architect,architect,,
Credit men,,,,
Plasterers,plasterer,plasterer,,
Physicists,physicist,physicist,,
Bootblacks,bootblack,bootblack,,
Osteopaths,osteopath,osteopath,,
N/A (blank),,,,
Bookkeepers,bookkeeper,bookkeeper,,
Bus drivers,"driver, chauffeur",bus_driver,,
Blacksmiths,blacksmith,blacksmith,,
Pharmacists,pharmacist,pharmacist,,
Millwrights,millwright ,millwright ,,
Bookbinders,"bookbinder, bibliopegist","bookbinder, bibliopegist",,
Postmasters,"postmaster, mailperson","postmaster, mailperson",,
Loom fixers,"loomfixer, loomer","loomfixer, loomer",,
Auctioneers,auctioneer,auctioneer,,
Electricians,electrician,electrician,,
Bank tellers,teller,teller,,
Agents (nec),agent,agent,,
Upholsterers,upholsterer,upholsterer,,
Farm foremen,,,,
Boilermakers,boilermaker,boilermaker,,
Optometrists,optometrist,optometrist,,
Paperhangers,paperhanger,paperhanger,,
Foremen (nec),,,,
Mail carriers,"courier, deliverer, carrier",mail_carrier,,
Photographers,photographer,photographer,,
Psychologists,psychologist,psychologist,,
Demonstrators,demonstrator,demonstrator,,
Cabinetmakers,"cabinetmaker, woodworker","cabinetmaker, woodworker",,
Chiropractors,chiropractor,chiropractor,,
Veterinarians,veterinarian,veterinarian,,
Laborers (nec),laborer,laborer,,
"Molders, metal","molder, metalsmith","molder, metalsmith",,
"Heaters, metal",,,,
Mathematicians,mathematician,mathematician,,
Engineers (nec),engineer,engineer,,
Civil-Engineers,"engineer, evaluator, inspector",civil_engineer,,
Radio operators,,radio_operator,,
Practical nurses,"nurse, practitioner",practical_nurse,,
Inspectors (nec),inspector,inspector,,
"Weavers, textile",weaver,weaver,,
Mining-Engineers,"engineer, mineralogist",mining_engineer,,
Teachers (n.e.c.),teacher,teacher,,
At school/student,,,,
Technicians (nec),technician,technician,,
Religious workers,clergy,clergy,,
"Spinners, textile","spinner, weaver","spinner, weaver",,
Lawyers and judges,"lawyer, judge, professional","lawyer, judge, professional",,
Stationary firemen,firefighter,firefighter,,
"Job setters, metal",,job_setter,,
Entertainers (nec),entertainer,entertainer,,
"Brakemen, railroad",railroader,railroader,,
Chemical-Engineers,"engineer, chemist",chemical_engineer,,
Locomotive firemen,stoker,locomotive_fireman,,
Elevator operators,"operator, lifter",elevator_operator,,
Telephone operators,"operator, telephonist",telephone_operator,,
Testing-technicians,"technician, technicians",testing_technician,,
Roofers and slaters,"roofer, roofers, slater","roofer, roofers, slater",,
"Switchmen, railroad","operator, railroader","operator, railroader",,
Telegraph operators,"operator, telegrapher",telegraph_operator,,
Other non-occupation,,,,
"Nurses, professional",nurse,professional_nurse,,
Janitors and sextons,"janitor, sexton, gravedigger, cleaner","janitor, sexton, gravedigger, cleaner",,
Industrial-Engineers,"engineer, industrialist",industrial_engineer,,
Electrical-Engineers,"engineer, electrician",electrical_engineer,,
